# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2431
#@/user_id	5b754ccd-decf-4aa1-80f7-2bdb3ab9e58b
a 	啊	c=8 d=1.91803 t=2431
ai 	唉	c=16 d=2.24071 t=2431
ai 	愛	c=1 d=1.09753 t=1631
ai bie ren 	愛別人	c=1 d=1 t=1627
ai ni 	愛你	c=5 d=0.122102 t=2431
ai ya 	哎呀	c=2 d=1.13876 t=2153
ao 	奧	c=4 d=0.0215564 t=2431
ao tu you zhi 	凹凸有致	c=1 d=0.000921047 t=2431
ba 	吧	c=21 d=1.57869 t=2431
ba 	把	c=7 d=1.49214 t=2431
ba dao 	八道	c=1 d=1 t=2250
ba dao 	霸道	c=1 d=1 t=2249
ba gua 	八卦	c=1 d=0.0107807 t=2431
bai se 	白色	c=1 d=0.0963276 t=2431
ban 	版	c=0 d=0.19802 t=1515
ban 	班	c=2 d=0.0522787 t=2431
ban gong shi 	辦公室	c=1 d=0.00236968 t=2431
ban jia 	搬家	c=1 d=1 t=2343
ban jing 	半徑	c=3 d=0.0515269 t=2431
ban quan 	版權	c=2 d=0.0876681 t=2431
ban zi 	板子	c=1 d=1 t=2403
bang bang 	幫幫	c=1 d=0.00571306 t=2431
bang bang 	棒棒	c=1 d=0.00577048 t=2431
bang bang tang 	棒棒糖	c=1 d=1 t=1721
bao bei 	寶貝	c=7 d=0.368022 t=2431
bao gao 	報告	c=1 d=0.0492917 t=2431
bao guo 	包裹	c=1 d=0.000645813 t=2431
bao zhang 	暴漲	c=1 d=0.369723 t=2431
bao zhe 	抱着	c=2 d=1.90937 t=2009
bao zhu 	抱住	c=0 d=0.1 t=2004
bao zhu ni 	抱住你	c=1 d=1 t=2005
bei 	背	c=1 d=1 t=1624
bei 	被	c=6 d=1.25436 t=2431
bei dan ci 	背單詞	c=1 d=1 t=1619
bei le 	背了	c=1 d=0.0049667 t=2431
bei mian 	背面	c=2 d=0.00195127 t=2431
ben lai 	本來	c=2 d=0.138194 t=2431
ben shen 	本身	c=2 d=0.231834 t=2431
ben zheng 	本徵	c=0 d=0.00746459 t=2431
ben zheng tai 	本徵態	c=1 d=0.07502 t=2431
bi jiao 	比較	c=5 d=0.755713 t=2431
bi ru 	比如	c=2 d=0.427415 t=2431
bian 	便	c=1 d=1 t=2334
bian 	變	c=1 d=1 t=2335
bian cheng 	變成	c=1 d=1 t=1695
bian gan 	便幹	c=1 d=0.00249118 t=2431
bian hua 	變化	c=3 d=0.0766098 t=2431
biao 	彪	c=1 d=0.0342181 t=2431
biao ge 	表格	c=2 d=0.0158936 t=2431
biao shi 	表示	c=2 d=0.237474 t=2431
bie ren 	別人	c=1 d=0.0105672 t=2431
bing bian 	病變	c=1 d=1 t=2231
bing gan 	餅乾	c=2 d=0.00483898 t=2431
bing li 	冰粒	c=1 d=0.0190631 t=2431
bing mei you 	並沒有	c=1 d=0.0121552 t=2431
bing zhu 	冰柱	c=1 d=1 t=2369
bo 	撥	c=0 d=0.1 t=2280
bo qian jin 	撥千斤	c=1 d=1 t=2281
bo qing bo 	撥清波	c=1 d=1 t=2284
bu 	不	c=4 d=2.05093 t=2417
bu ai 	不愛	c=1 d=1 t=1629
bu dui 	不對	c=4 d=0.951584 t=2431
bu e 	不餓	c=0 d=0.1 t=1736
bu fen 	部分	c=1 d=1.00508 t=2124
bu gou 	不夠	c=1 d=0.247833 t=2431
bu guo 	不過	c=5 d=0.527921 t=2431
bu hao 	不好	c=2 d=1.94176 t=2228
bu hao kan 	不好看	c=1 d=1 t=1646
bu hui 	不會	c=1 d=1 t=2333
bu jian 	不見	c=1 d=0.0547488 t=2431
bu kan 	不看	c=0 d=0.1 t=1827
bu mai ren 	不埋人	c=1 d=1 t=1845
bu neng 	不能	c=4 d=0.866073 t=2431
bu ru 	不如	c=1 d=0.0808629 t=2431
bu shi 	不是	c=6 d=0.628777 t=2431
bu shu fu 	不舒服	c=2 d=1.74082 t=2000
bu tai 	不太	c=2 d=0.175413 t=2431
bu tong 	不同	c=7 d=0.433776 t=2431
bu wen ding 	不穩定	c=1 d=0.0182243 t=2431
bu yao 	不要	c=1 d=0.00582847 t=2431
bu ying gai 	不應該	c=1 d=1 t=1942
bu zhi dao 	不知道	c=13 d=1.91695 t=2431
cai 	才	c=1 d=0.752059 t=2431
cai fang 	採訪	c=2 d=1.54537 t=2431
cai liao 	材料	c=2 d=0.00155198 t=2431
cai neng 	才能	c=1 d=1 t=1668
can 	慘	c=1 d=0.0031354 t=2431
can jia 	參加	c=2 d=0.0023453 t=2431
can shu 	參數	c=1 d=0.0728029 t=2431
cao mei 	草莓	c=2 d=0.231085 t=2431
ce shi 	測試	c=4 d=0.522728 t=2431
ceng ji 	層級	c=1 d=0.0203434 t=2431
cha jin qu 	插進去	c=1 d=1 t=1764
chai diao 	拆掉	c=1 d=1 t=2408
chao 	朝	c=1 d=0.752014 t=2431
chen jiu 	陳舊	c=1 d=0.000754089 t=2431
cheng 	城	c=2 d=0.00301649 t=2431
cheng 	成	c=2 d=0.443293 t=2431
cheng du 	程度	c=0 d=0.0357007 t=2431
